Sample,X(ms) [05.01.2024 13:48:30 205 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
26044,1704462737084.251745,0,0,0
26045,1704462737094.012200,0,0,0
26046,1704462737104.012254,0,0,0
26047,1704462737114.012067,0,0,0
26048,1704462737124.017682,0,0,0
26049,1704462737134.017486,0,0,0
26050,1704462737144.013182,0,0,0
26051,1704462737154.013426,0,0,0
26052,1704462737164.013139,0,0,0
26053,1704462737174.013194,0,0,0
26054,1704462737184.013278,0,0,0
26055,1704462737194.082682,0,0,0
26056,1704462737204.122401,0,0,0
26057,1704462737214.191033,0,0,0
26058,1704462737224.045474,0,0,0
26059,1704462737234.098307,0,0,0
26060,1704462737244.151742,0,0,0
26061,1704462737254.209674,0,0,0
26062,1704462737264.014973,0,0,0
26063,1704462737274.015418,0,0,0
26064,1704462737284.023176,0,0,0
26065,1704462737294.015025,0,0,0
26066,1704462737304.015089,0,0,0
26067,1704462737314.020393,0,0,0
26068,1704462737324.016139,0,0,0
26069,1704462737334.126470,0,0,0
26070,1704462737344.176909,0,0,0
26071,1704462737354.035017,0,0,0
26072,1704462737364.018500,0,0,0
26073,1704462737374.020738,0,0,0
26074,1704462737384.016905,0,0,0
26075,1704462737394.017480,0,0,0
26076,1704462737404.021000,0,0,0
26077,1704462737414.366533,0,0,0
26078,1704462737424.016791,0,0,0
26079,1704462737434.017286,0,0,0
26080,1704462737444.019874,0,0,0
26081,1704462737454.072267,0,0,0
26082,1704462737464.058765,0,0,0
26083,1704462737474.209362,1,1,1
26084,1704462737484.082568,1,1,1
26085,1704462737494.112859,1,1,1
26086,1704462737504.165311,1,1,1
26087,1704462737514.020143,1,1,1
26088,1704462737524.025016,1,1,1
26089,1704462737534.018849,1,1,1
26090,1704462737544.020215,1,1,1
26091,1704462737554.018746,1,1,1
26092,1704462737564.100875,1,1,1
26093,1704462737574.152495,1,1,1
26094,1704462737584.209416,1,1,1
26095,1704462737594.021668,1,1,1
26096,1704462737604.019869,1,1,1
26097,1704462737614.019692,1,1,1
26098,1704462737624.020478,1,1,1
26099,1704462737634.021514,1,1,1
26100,1704462737644.020816,1,1,1
26101,1704462737654.021522,1,1,1
