Sample,X(ms) [05.01.2024 13:33:02 415 UTC],"firstHeater[%Q0.5]","secondHeater[%Q0.6]","thirdHeater[%Q0.7]"
24629,1704461821190.597073,1,1,0
24630,1704461821200.596915,1,1,1
24631,1704461821210.598791,1,1,1
24632,1704461821220.881934,1,1,1
24633,1704461821230.647607,1,1,1
24634,1704461821240.790047,1,1,1
24635,1704461821250.650086,1,1,1
24636,1704461821260.706304,1,1,1
24637,1704461821270.598965,1,1,1
24638,1704461821280.597805,1,1,1
24639,1704461821290.599741,1,1,1
24640,1704461821300.605214,1,1,1
24641,1704461821310.598794,1,1,1
24642,1704461821320.600630,1,1,1
24643,1704461821330.603548,1,1,1
24644,1704461821340.598982,1,1,1
24645,1704461821350.602150,1,1,1
24646,1704461821360.623252,1,1,1
24647,1704461821370.604529,1,1,1
24648,1704461821380.881391,1,1,1
24649,1704461821390.649949,1,1,1
24650,1704461821400.722758,1,1,1
24651,1704461821410.666074,1,1,1
24652,1704461821420.745496,1,1,1
24653,1704461821430.772288,1,1,1
24654,1704461821440.601090,1,1,1
24655,1704461821450.601162,1,1,1
24656,1704461821460.600874,1,1,1
24657,1704461821470.601718,1,1,1
24658,1704461821480.601921,1,1,1
24659,1704461821490.761102,1,1,1
24660,1704461821500.603879,1,1,1
24661,1704461821510.601868,1,1,1
24662,1704461821520.601770,1,1,1
24663,1704461821530.601963,1,1,1
24664,1704461821540.602055,1,1,1
24665,1704461821550.601777,1,1,1
24666,1704461821560.604304,1,1,1
24667,1704461821570.602754,1,1,1
24668,1704461821580.602756,1,1,1
24669,1704461821590.621353,1,1,1
24670,1704461821600.602891,1,1,0
24671,1704461821610.628241,1,1,0
24672,1704461821620.711279,1,1,0
24673,1704461821630.742841,1,1,0
24674,1704461821640.639209,1,1,0
24675,1704461821650.692271,1,1,0
24676,1704461821660.744180,1,1,0
24677,1704461821670.803905,1,1,0
24678,1704461821680.604553,1,1,0
24679,1704461821690.604546,1,1,0
24680,1704461821700.607383,1,1,0
24681,1704461821710.604440,1,1,0
24682,1704461821720.604603,1,1,0
24683,1704461821730.606449,1,1,0
24684,1704461821740.606421,1,1,0
24685,1704461821750.607245,1,1,0
24686,1704461821760.607137,1,1,0
24687,1704461821770.607240,1,1,0
24688,1704461821780.630025,1,1,0
24689,1704461821790.672657,1,1,0
24690,1704461821800.744354,1,1,0
24691,1704461821810.794050,1,1,0
24692,1704461821820.653789,1,1,0
24693,1704461821830.705518,1,1,0
24694,1704461821840.759843,1,1,0
24695,1704461821850.808156,1,1,0
24696,1704461821860.607562,1,1,0
24697,1704461821870.615158,1,1,0
24698,1704461821880.607406,1,1,0
24699,1704461821890.607529,1,1,0
24700,1704461821900.607481,1,1,0
24701,1704461821910.607974,1,1,0
24702,1704461821920.609069,1,1,0
24703,1704461821930.607498,1,1,0
24704,1704461821940.608543,1,1,0
24705,1704461821950.658479,1,1,0
24706,1704461821960.703576,1,1,0
