Sample,X(ms) [09.01.2024 15:03:56 846 UTC],"ExecutePWM_DB.tempAfterScaled"
21006,1704812694306.624003,53.3608207702637
21007,1704812694316.602288,53.3608207702637
21008,1704812694326.604443,53.3608207702637
21009,1704812694336.614381,53.3608207702637
21010,1704812694346.615861,53.3608207702637
21011,1704812694356.615990,53.3608207702637
21012,1704812694366.604341,53.3608207702637
21013,1704812694376.609235,53.3608207702637
21014,1704812694386.607723,53.3608207702637
21015,1704812694396.602301,53.3608207702637
21016,1704812694406.604275,53.3608207702637
21017,1704812694416.612163,53.3608207702637
21018,1704812694426.610017,53.3608207702637
21019,1704812694436.616110,53.3608207702637
21020,1704812694446.605030,53.3709487915039
21021,1704812694456.611617,53.3709487915039
21022,1704812694466.607901,53.3709487915039
21023,1704812694476.616755,53.3709487915039
21024,1704812694486.625741,53.3709487915039
21025,1704812694496.631070,53.3709487915039
21026,1704812694506.604501,53.3709487915039
21027,1704812694516.607595,53.3709487915039
21028,1704812694526.608137,53.3709487915039
21029,1704812694536.633368,53.3709487915039
21030,1704812694546.605390,53.3709487915039
21031,1704812694556.611968,53.3709487915039
21032,1704812694566.608675,53.3709487915039
21033,1704812694576.647337,53.3810768127441
21034,1704812694586.606457,53.3810768127441
21035,1704812694596.606430,53.3810768127441
21036,1704812694606.627523,53.3810768127441
21037,1704812694616.605950,53.3810768127441
21038,1704812694626.606195,53.3810768127441
21039,1704812694636.607710,53.3810768127441
21040,1704812694646.628608,53.3810768127441
21041,1704812694656.605017,53.3810768127441
21042,1704812694666.604781,53.3810768127441
21043,1704812694676.607137,53.3810768127441
21044,1704812694686.630115,53.3810768127441
21045,1704812694696.604470,53.3810768127441
21046,1704812694706.605070,53.3810768127441
21047,1704812694716.607861,53.3912048339844
21048,1704812694726.625408,53.3912048339844
21049,1704812694736.605497,53.3912048339844
21050,1704812694746.605288,53.3912048339844
21051,1704812694756.605861,53.3912048339844
21052,1704812694766.619168,53.3912048339844
21053,1704812694776.603915,53.3912048339844
21054,1704812694786.633115,53.3912048339844
21055,1704812694796.635235,53.3912048339844
21056,1704812694806.606443,53.3912048339844
21057,1704812694816.609155,53.3912048339844
21058,1704812694826.609275,53.3912048339844
21059,1704812694836.634955,53.3912048339844
21060,1704812694846.606270,53.4013290405273
21061,1704812694856.610048,53.4013290405273
21062,1704812694866.607137,53.4013290405273
21063,1704812694876.617217,53.4013290405273
21064,1704812694886.607715,53.4013290405273
21065,1704812694896.605083,53.4013290405273
21066,1704812694906.607995,53.4013290405273
21067,1704812694916.621697,53.4013290405273
21068,1704812694926.606030,53.4013290405273
21069,1704812694936.613128,53.4013290405273
21070,1704812694946.609315,53.4013290405273
21071,1704812694956.618715,53.4013290405273
21072,1704812694966.604528,53.4013290405273
21073,1704812694976.611657,53.4013290405273
21074,1704812694986.608083,53.4114570617676
21075,1704812694996.615675,53.4114570617676
21076,1704812695006.603408,53.4114570617676
21077,1704812695016.613617,53.4114570617676
21078,1704812695026.609821,53.4114570617676
21079,1704812695036.616115,53.4114570617676
21080,1704812695046.623901,53.4114570617676
21081,1704812695056.605875,53.4114570617676
21082,1704812695066.630995,53.4114570617676
21083,1704812695076.606897,53.4114570617676
21084,1704812695086.606915,53.4114570617676
21085,1704812695096.604910,53.4114570617676
21086,1704812695106.646697,53.4114570617676
21087,1704812695116.610350,53.4165229797363
21088,1704812695126.605728,53.4165229797363
21089,1704812695136.622590,53.4165229797363
21090,1704812695146.606363,53.4165229797363
21091,1704812695156.607350,53.4165229797363
21092,1704812695166.611243,53.4165229797363
21093,1704812695176.607537,53.4165229797363
21094,1704812695186.606750,53.4165229797363
21095,1704812695196.603577,53.4165229797363
21096,1704812695206.608003,53.4165229797363
21097,1704812695216.606790,53.4165229797363
21098,1704812695226.606430,53.4165229797363
21099,1704812695236.605057,53.4165229797363
21100,1704812695246.608630,53.4165229797363
21101,1704812695256.606675,53.4215888977051
21102,1704812695266.604861,53.4215888977051
21103,1704812695276.602763,53.4215888977051
21104,1704812695286.605323,53.4215888977051
21105,1704812695296.606728,53.4215888977051
21106,1704812695306.628301,53.4215888977051
21107,1704812695316.603470,53.4215888977051
21108,1704812695326.606341,53.4215888977051
21109,1704812695336.607950,53.4215888977051
21110,1704812695346.628501,53.4215888977051
21111,1704812695356.603808,53.4215888977051
21112,1704812695366.614043,53.4215888977051
21113,1704812695376.627955,53.4215888977051
21114,1704812695386.628003,53.4266471862793
21115,1704812695396.606763,53.4266471862793
21116,1704812695406.608955,53.4266471862793
21117,1704812695416.626510,53.4266471862793
21118,1704812695426.607590,53.4266471862793
21119,1704812695436.625275,53.4266471862793
21120,1704812695446.605035,53.4266471862793
21121,1704812695456.606057,53.4266471862793
21122,1704812695466.609070,53.4266471862793
21123,1704812695476.610297,53.4266471862793
21124,1704812695486.603817,53.4266471862793
21125,1704812695496.599675,53.4266471862793
21126,1704812695506.606630,53.4266471862793
21127,1704812695516.605830,53.4266471862793
21128,1704812695526.606470,53.431713104248
21129,1704812695536.604510,53.431713104248
21130,1704812695546.611643,53.431713104248
21131,1704812695556.609203,53.431713104248
21132,1704812695566.604421,53.431713104248
21133,1704812695576.616470,53.431713104248
21134,1704812695586.607617,53.431713104248
21135,1704812695596.610421,53.431713104248
21136,1704812695606.614568,53.431713104248
21137,1704812695616.609750,53.431713104248
21138,1704812695626.615941,53.431713104248
21139,1704812695636.601595,53.431713104248
21140,1704812695646.637808,53.431713104248
21141,1704812695656.603488,53.4367752075195
21142,1704812695666.606981,53.4367752075195
21143,1704812695676.606155,53.4367752075195
21144,1704812695686.630297,53.4367752075195
21145,1704812695696.622435,53.4367752075195
21146,1704812695706.607608,53.4367752075195
21147,1704812695716.606728,53.4367752075195
21148,1704812695726.627630,53.4367752075195
21149,1704812695736.621888,53.4367752075195
21150,1704812695746.625283,53.4367752075195
21151,1704812695756.602768,53.4367752075195
21152,1704812695766.606750,53.4367752075195
21153,1704812695776.605217,53.4367752075195
21154,1704812695786.604435,53.4367752075195
21155,1704812695796.602377,53.4469032287598
21156,1704812695806.605955,53.4469032287598
21157,1704812695816.605923,53.4469032287598
21158,1704812695826.626950,53.4469032287598
21159,1704812695836.604017,53.4469032287598
21160,1704812695846.607883,53.4469032287598
21161,1704812695856.605097,53.4469032287598
21162,1704812695866.630541,53.4469032287598
21163,1704812695876.602497,53.4469032287598
21164,1704812695886.608230,53.4469032287598
21165,1704812695896.606003,53.4469032287598
21166,1704812695906.624821,53.4469032287598
21167,1704812695916.602070,53.4469032287598
21168,1704812695926.608648,53.4469032287598
21169,1704812695936.607888,53.4469032287598
21170,1704812695946.630315,53.4469032287598
21171,1704812695956.603155,53.4469032287598
21172,1704812695966.608043,53.4469032287598
21173,1704812695976.607195,53.4469032287598
21174,1704812695986.638408,53.4469032287598
21175,1704812695996.601377,53.4469032287598
21176,1704812696006.608163,53.4469032287598
21177,1704812696016.604803,53.4469032287598
21178,1704812696026.628777,53.4469032287598
21179,1704812696036.611821,53.4469032287598
21180,1704812696046.605155,53.4469032287598
21181,1704812696056.624421,53.4469032287598
21182,1704812696066.606030,53.4519653320313
21183,1704812696076.610208,53.4519653320313
21184,1704812696086.607003,53.4519653320313
21185,1704812696096.624630,53.4519653320313
21186,1704812696106.605737,53.4519653320313
21187,1704812696116.603710,53.4519653320313
21188,1704812696126.608710,53.4519653320313
21189,1704812696136.635977,53.4519653320313
21190,1704812696146.604341,53.4519653320313
21191,1704812696156.609741,53.4519653320313
